ID_Cliente,Evasion,Genero,AdultoMayor,TienePareja,Dependientes,MesesAntiguedad,ServicioTelefonico,LineasMultiples,ServicioInternet,SeguridadEnLinea,RespaldoEnLinea,ProteccionDispositivo,SoporteTecnico,StreamingTV,StreamingPeliculas,TipoContrato,FacturaElectronica,MetodoPago,CuentasDiarias,CargoMensual,CargoTotal
0002-ORFBO,No,Femenino,No,Sí,Sí,9,Sí,No,DSL,No,Sí,No,Sí,Sí,No,Un año,Sí,Cheque por correo,2.19,65.6,593.3
0003-MKNFE,No,Masculino,No,No,No,9,Sí,Sí,DSL,No,No,No,No,No,Sí,Mensual,No,Cheque por correo,2.0,59.9,542.4
0004-TLHLJ,Sí,Masculino,No,No,No,4,Sí,No,Fibra óptica,No,No,Sí,No,No,No,Mensual,Sí,Cheque electrónico,2.46,73.9,280.85
0011-IGKFF,Sí,Masculino,Sí,Sí,No,13,Sí,No,Fibra óptica,No,Sí,Sí,No,Sí,Sí,Mensual,Sí,Cheque electrónico,3.27,98.0,1237.85
0013-EXCHZ,Sí,Femenino,Sí,Sí,No,3,Sí,No,Fibra óptica,No,No,No,Sí,Sí,No,Mensual,Sí,Cheque por correo,2.8,83.9,267.4
0013-MHZWF,No,Femenino,No,No,Sí,9,Sí,No,DSL,No,No,No,Sí,Sí,Sí,Mensual,Sí,Tarjeta de crédito (automático),2.31,69.4,571.45
0013-SMEOE,No,Femenino,Sí,Sí,No,71,Sí,No,Fibra óptica,Sí,Sí,Sí,Sí,Sí,Sí,Dos años,Sí,Transferencia bancaria (automática),3.66,109.7,7904.25
0014-BMAQU,No,Masculino,No,Sí,No,63,Sí,Sí,Fibra óptica,Sí,No,No,Sí,No,No,Dos años,Sí,Tarjeta de crédito (automático),2.82,84.65,5377.8
0015-UOCOJ,No,Femenino,Sí,No,No,7,Sí,No,DSL,Sí,No,No,No,No,No,Mensual,Sí,Cheque electrónico,1.61,48.2,340.35
0016-QLJIS,No,Femenino,No,Sí,Sí,65,Sí,Sí,DSL,Sí,Sí,Sí,Sí,Sí,Sí,Dos años,Sí,Cheque por correo,3.02,90.45,5957.9
0017-DINOC,No,Masculino,No,No,No,54,No,Sin servicio telefónico,DSL,Sí,No,No,Sí,Sí,No,Dos años,No,Tarjeta de crédito (automático),1.51,45.2,2460.55
0017-IUDMW,No,Femenino,No,Sí,Sí,72,Sí,Sí,Fibra óptica,Sí,Sí,Sí,Sí,Sí,Sí,Dos años,Sí,Tarjeta de crédito (automático),3.89,116.8,8456.75
0018-NYROU,No,Femenino,No,Sí,No,5,Sí,No,Fibra óptica,No,No,No,No,No,No,Mensual,Sí,Cheque electrónico,2.3,68.95,351.5
0019-EFAEP,No,Femenino,No,No,No,72,Sí,Sí,Fibra óptica,Sí,Sí,Sí,No,Sí,No,Dos años,Sí,Transferencia bancaria (automática),3.38,101.3,7261.25
0019-GFNTW,No,Femenino,No,No,No,56,No,Sin servicio telefónico,DSL,Sí,Sí,Sí,Sí,No,No,Dos años,No,Transferencia bancaria (automática),1.5,45.05,2560.1
0020-INWCK,No,Femenino,No,Sí,Sí,71,Sí,Sí,Fibra óptica,No,Sí,Sí,No,No,Sí,Dos años,Sí,Tarjeta de crédito (automático),3.19,95.75,6849.4
0020-JDNXP,No,Femenino,No,Sí,Sí,34,No,Sin servicio telefónico,DSL,Sí,No,Sí,Sí,Sí,Sí,Un año,No,Cheque por correo,2.04,61.25,1993.2
0021-IKXGC,No,Femenino,Sí,No,No,1,Sí,Sí,Fibra óptica,No,No,No,No,No,No,Mensual,Sí,Cheque electrónico,2.4,72.1,72.1
0022-TCJCI,Sí,Masculino,Sí,No,No,45,Sí,No,DSL,Sí,No,Sí,No,No,Sí,Un año,No,Tarjeta de crédito (automático),2.09,62.7,2791.5
0023-HGHWL,Sí,Masculino,Sí,No,No,1,No,Sin servicio telefónico,DSL,No,No,No,No,No,No,Mensual,Sí,Cheque electrónico,0.84,25.1,25.1
0023-UYUPN,No,Femenino,Sí,Sí,No,50,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Cheque electrónico,0.84,25.2,1306.3
0023-XUOPT,Sí,Femenino,No,Sí,No,13,Sí,Sí,Fibra óptica,No,Sí,Sí,No,Sí,No,Mensual,No,Cheque electrónico,3.14,94.1,1215.6
0027-KWYKW,No,Femenino,No,Sí,Sí,23,Sí,Sí,Fibra óptica,No,No,No,No,Sí,No,Mensual,Sí,Cheque electrónico,2.79,83.75,1849.95
0030-FNXPP,No,Femenino,No,No,No,3,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque por correo,0.66,19.85,57.2
0031-PVLZI,Sí,Femenino,No,Sí,Sí,4,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque por correo,0.68,20.35,76.35
0032-PGELS,Sí,Femenino,No,Sí,Sí,1,No,Sin servicio telefónico,DSL,Sí,No,No,No,No,No,Mensual,No,Transferencia bancaria (automática),1.02,30.5,30.5
0036-IHMOT,No,Femenino,No,Sí,Sí,55,Sí,No,Fibra óptica,No,Sí,Sí,Sí,Sí,Sí,Un año,Sí,Transferencia bancaria (automática),3.46,103.7,5656.75
0040-HALCW,No,Masculino,No,Sí,Sí,54,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Tarjeta de crédito (automático),0.68,20.4,1090.6
0042-JVWOJ,No,Masculino,No,No,No,26,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,Sí,Transferencia bancaria (automática),0.65,19.6,471.85
